〆切	termination、conclusion、ending、deadline
怒り狂っ	rage、storm、rage、ramp
怒涛	raging billows
怒鳴っ	call out、cry、outcry、cry out、shout、exclaim、yell、scream、hollo、cry
倒し	demolish、destroy、trounce、shell、beat、crush、beat out、vanquish、defeat、overcome
倒れ	break down、collapse、tumble、topple、sink、drop down、drop、fall、fall、fall
党	political party; faction; party
党大会	party convention
冬	winter
冬眠	hibernation
凍結	freeze; freezing
島	insula; islet; island
島々	islands
島崎	Shimasaki
島崎遥香	Haruka Shimazaki
島本	Shimamoto
投	throw
投げ	throw、cast、hurtle、hurl、throw、fling、sky、flip、toss、pitch
投げかけ	cast on
投げつけ	pepper、pelt
投げ込ま	throw into
投じ	throw、cast、hurtle、hurl、throw、fling、project、send off、throw、project
投下	drop
投開票	casting and counting votes
投球	pitch
投稿	contribution
投稿サイト	posting website
投稿者	contributor
投資	capitalization; investment
投手	pitcher
投入	charge; throwing
投票	poll; vote; ballot; voting
投票数	poll
投票率	turnout of voters; voting rate
搭載	installation; loading
搭乗	embark、ship、get on、board
東	east
東アジア	East Asia
東海岸	east coast
東海大	Tokai Univ.
東海道新幹線	Tokaido Shinkansen; New Tokaido Line
東京	Tokyo metropolitan; Tokyo‐to; Tokyo
東京オリンピック	Tokyo Olympics、1940 Summer Olympics、Tokyo Olympiad
東京スカイツリー	Tokyo Skytree
東京マラソン	Tokyo Marathon
東京ミッドタウン	Tokyo Midtown
東京工科大学	Tokyo university of technology; Tokyo Engineering Univ.
東京高裁	Tokyo High Court
東京証券取引所	Tokyo Stock Exchange
東京新聞	Tokyo Shimbun
東京大学	Univ. of Tokyo
東京大学出版会	University of Tokyo Press
東京電力	Tokyo Electric Power Co.、Inc.; TEPCO; Tokyo Electric Power
東京都	Tokyo Metropolitan; Tokyo
東京都市大学	Tokyo City University
東京都知事	governor of Tokyo
東京都内	Tokyo
東京六大学野球連盟	Tokyo Big6 Baseball League
東京湾	Tokyo Bay
東芝	Toshiba Corp.; TOSHIBA
東大	Univ. of Tokyo
東電	Tokyo Electric Power
東南アジア	Southeast Asia
東南アジア競技大会	Southeast Asian Games
東日本	Eastern Japan
東日本大震災	Aftermath of the 2011 T?hoku earthquake and tsunami
東部	east side
東北	northeast
東洋経済	The Toyo Keizai
盗癖	thievish habits; kleptomania
盗塁	stolen base
湯気	steam
湯水	hot and cold water
湯浅	Yuasa
灯っ	burn、cauterise、cauterize、burn
当たり	hit
当たり前	natural、ordinary
当たる	face、confront、meet、take on、play、encounter、meet、adjoin、contact、touch
当っ	plumb、plumb、face、confront、meet、take on、play、encounter、meet、adjoin
当て	infer、guess、apply、shoot、hit、pip、put、assign、meet、adjoin
当てはまる	apply、hold、go for、lend oneself、apply
当てはめ	fit、fit、apply、apply、enforce、implement、practice、apply、use
当該	that; said; such; the; referenced
当局	authorities
当事者	parties concerned
当時	then
当社	our company
当初	beginning、beginning、start、offset、outset、kickoff、starting time、get-go、showtime、commencement
当人	person in question
当選	election; success in election
当日	current day; on that day
当分	for the moment、for the time being
当方	I
当面	for the time being
当落	success or failure
等	grade、level、tier、rank
等しく	equal、equivalent、tantamount、like、alike、similar、like、same、like、comparable
等価	equivalence; value; equivalency
等分	equal dividing
答	answer、solution、solution、answer、result、solvent、resolution、answer、reply、response
答え	answer、solution、solution、answer、result、solvent、resolution、answer、reply、response
答える	answer、resolve、answer、respond、solve、resolve、answer、respond、reply、answer
答弁	explanation; answer; reply; rejoinder
答弁書	answer、reply、response
筒	tube; pipe
統一	unity; standardization; unification; consolidation
統括	integration
統計	statistics
統計学	statistics
統計的	statistical
統合	integration; unification
到達	achievement; attainment
到着	arrival
藤	wistaria、wisteria
藤代	Fujishiro
藤本健二	Kenji Fujimoto
藤末健三	Kenzo Fujisue
討議	discussion; debate
豆藤	Mamefuji
豆腐	soybean curd; tofu
踏ま	value、measure、assess、valuate、appraise、evaluate、estimate、calculate、figure、forecast
踏まえ	that's where we stand; be in a certain position
踏みにじっ	run roughshod、ride roughshod
踏み込ん	break、break in
踏み切っ	make a bold start; take off; take a plunge
踏査	reconnaissance
踏切	grade crossing、level crossing
逃げ	flight、escape、getaway、lam、dodging、escape、evasion
逃げ	hedge、dodge、sidestep、circumvent、evade、parry、put off、elude、fudge、skirt
逃げ回り	run from place to place
逃げ出す	shake、escape from、throw off、shake off、bolt、abscond、run off、decamp、make off、absquatulate
逃し	lose、emancipate、liberate、miss
逃れ	dodging、escape、evasion
逃れる	hedge、dodge、sidestep、circumvent、evade、parry、put off、elude、fudge、skirt
逃避行	escape journey
透け	shine through; transparent
透明	transparence
頭	skull; leader; caput; cranium; head; brain; distal end; hair; chief
頭打ち	leveling off
頭痛	cephalalgia; cephalodynia; cephalea; cephalaea; headache; encephalalgia; dolor capitis
頭脳	brain
闘い	fight、battle、struggle、battle、struggle、conflict、fighting、fight、combat、scrap
闘う	vie、contend、compete、fight、contend、struggle、fight、oppose、fight back、defend
闘争心	competitiveness、fight
働い	operate、go、operate、function、run、work、do work、work、work、pull
働かせ	employ、apply、use、utilise、utilize、put to work、work、practice、apply、use
働き	mathematical process、operation、mathematical operation、purpose、function、role、use、activity、natural process、natural action
働きかけ	approach; spur
働きかける	shape、influence、mold、regulate、determine、hale、pressure、coerce、force、squeeze
働き盛り	prime of life
動	movement
動い	be active、move、move、change、operate、shift、go、operate、function、run
動かさ	modify、alter、change、shift、shape、influence、mold、regulate、determine、control
動き	move、motion、movement、move、motion、motility、movement、move、motion、movement
動き出し	get moving、get weaving、get going、bestir oneself、get cracking、get started、get rolling、roll、get off the ground、take off
動画	moving image
動画投稿サイト	A video posting site；A video clip sharing site
動機	reason; motive
動向	attitude; trend; tendency; movement
動作	operation; action; motion
動性	kinesis
動線	traffic line
動的	dynamic
動物	animal
同	the same; the said; ibid.
同じく	likewise、alike、likewise、similarly
同意	consent; agreement; approval
同一	same、identical、superposable、like、same、same、identical、indistinguishable、same、selfsame
同一労働同一賃金	equal pay for equal work
同期	synchronization
同級生	classmate
同居	doubling up; cohabitation
同業者	fellow trader
同月	said month; same month
同行	fellow pilgrim; accompanying; party
同国	same country; said country
同士	companion; fellow
同氏	the person
同紙	same paper; said paper
同視	identification; isopia
同誌	ibid.; same issue; same periodical
同時	simultaneously、at the same time、synchronously
同時選挙	double election
同時多発テロ	9/11；synchronized terrorist attacks
同時通訳	simultaneous interpretation; simultaneous interpreter
同社	this company; the company
同書	ib.、ibid.、ibidem
同省	said ministry; same ministry
同人	coterie; same person
同数	same number
同性愛	inversion; uranism; homosexuality; homoerotism; inversio; homophilia
同性婚	same-sex marriage
同席	presence; sitting with; being with
同然	like、alike、similar、like、same、same、like、comparable、corresponding、identical
同大	same size
同調圧力	Peer pressure
同点	tie score
同等	as、every bit、equally
同日	the same day
同年	that year; same year; same age
同伴	associated
同盟	alliance; union; Japanese Confederation of Labor; league
同様	as、every bit、equally、likewise、alike、likewise、similarly
同率	same ratio
同僚	colleague
堂々巡り	going around in circles
導い	land、bring、lead、chair、lead、moderate、bring、bring、conduct、precede
導き出す	generalize from
導入	introductio; transduction; induction; introduction
憧れ	look up to、admire
道	tractus; tract; path; meatus; way; road
道ばた	wayside、roadside
道筋	reason; route
道具	tool; instrument
道端	roadside
道中	journey
道府県	Hokkai-do、Osaka-fu、Kyoto-fu and remaining prefectures (all administrative divisions of Japan except Tokyo-to)
道路	via; highway; street; road; trafficway
峠	crisis; pass; ridge
匿名	anonym
匿名希望	Name withheld by request
得	gather、gain、find、incur、get、receive、obtain、adopt、acquire、take on
得	profit; advantage; benefit
得意	pridefulness、pride、elation、high spirits、lightness、triumph、client、customer、frequenter、patron
得策	profit
得点	score
徳島ヴォルティス	Tokushima Vortis
特ダネ	scoop
特異	different、peculiar、special、particular、peculiar、prodigious、olympian、surpassing、exceptional、exceeding
特異性	peculiarity; singularity; specificity; idiosyncrasy
特記	special mention
特殊	unique、special、particular、peculiar
特集	special collection; special issue; special feature
特集記事	special feature article
特色	feature
特性	characteristic; characteristics
特設	special installation
特捜	special investigation
特捜部	special investigation department
特徴	peculiarity; features; characteristics; characteristic
特定	specific
特定非営利活動法人	npo
特派員	special correspondent
特筆	topical
特別	peculiarly、specially、especially、particularly、outstandingly、unco、unusually、remarkably、exceptionally、specially
特別委員会	ad hoc committee; special committee
特別賞	special award; special prize
特有	characteristic、distinctive、typical、special、particular、peculiar、specific
特例	special case
毒	bane; toxicant; venom; toxin; poison
毒キノコ	poisonous toadstool
毒魚	poisonous fish
毒蛇	poisoner; thanatophidia; toxicophidia; poisonous snake; venenosa
毒性	drug toxicity; toxicity; virulence; toxic effect
毒舌	scathing criticism
毒物	poison; toxic material
独	Germany
独居	solitude; solitary life
独裁	autocracy; absolutism; dictatorship
独裁者	dictator
独自	characteristic、special、particular、peculiar、unique、personal、original
独身	single; bachelor; spinster
独善	self‐complacence
独特	characteristic、special、particular、peculiar、unique、original、inimitable、specific
独立	independence
独立リーグ	Independent League
読ま	take、read、read、read、scan、read、number、numerate、enumerate、count
読み	insight、penetration、reading
読み解き	to read and understand; to subject to close analysis; to read deeply; to read carefully (esp. a difficult text)
読み合わせ	check、practice、rehearse、practise
読み込ん	scan、read、load
読み取る	read between the lines、take、read、scan、read
読み手	reader
読み上げ	read
読み方	reading; interpretation
読め	readable
読解	interpretation
読者	reader
読書	reading
読売新聞	Yomiuri Shimbun
読売新聞社	Yomiuri Shimbun
栃木	Tochigi; Tochigi‐ken; Tochigi prefecture
突い	charge、prod、poke、stab、dig、jab、incite、egg on、prod、knife
突きつけ	confront with
突き詰め	investigate thoroughly; probe into
突き止め	ascertain、find、ascertain、find out、determine、hound、trace、hunt、turn up、locate
突き出し	project、send off
突き当たる	run into、collide with、strike、hit、impinge on、run into、jar against、knock against、bump into、butt against
突き付け	thrust at; thrust before
突き放さ	desolate、abandon、desert、forsake
突っ込み	charge、riposte、straight man、second banana
突っ込む	throw、thrust
突っ走り	rush along、hie、rush、pelt along、race、hasten、hotfoot、speed、bucket along、cannonball along
突出	proptosis; excrescence; projection; extrusion; protrusio; protrusion
突然の死	sudden death
突破	breakout; breaking through
突破口	breakthrough
突発	outbreak; burst
届	report; notification; registration
届い	carry、hit、attain、reach、hit、make、attain、reach、gain、arrive at
届け	notification
届けよ	send、post、mail、send、send off、get off、deliver
届け出	notification
頓挫	setback; abortive; abortion
曇っ	to get cloudy; to cloud over; to become overcast、to mumble; to mutter
曇り空	cloudy sky
鈍く	dull、dull、slow、dumb、obtuse、dense、dull、dim、purblind、obtuse
奈良	Nara prefecture; Nara; Nara‐ken
奈良県	Nara prefecture (Kinki area)
内	inside、interior、inside、interior
内浦湾	Uchiura Bay
内科	internal medicine; medicine
内外	the inside and outside; internal and external
内角	interior angle
内閣府	Cabinet Office
内閣法制局長官	Director-General of the Cabinet Legislation Bureau
内装	interior finishing; inner packaging
内定	private decision
内部	interior; inside; internal
内部情報	inside information
内部文書	internal document
内房	Uchibo
内幕	inside facts
内面	internal surface; inside; inner surface
内訳	breakdown
内容	content; detail
内容証明	contents‐certification
謎	puzzle; mystery; riddle
鍋	cauldron、caldron、cooking pan、pan、pot、hot pot、hotpot
馴染	closeness、intimacy、familiarity、familiarity、closeness、intimacy、friend、frequenter、patron
馴染む	to become familiar with; to fit in; to adapt oneself; to get used to; to grow accustomed to
南	south
南アフリカ	South Africa
南シナ海	the South China Sea; South China Sea
南極	Antarctica; Antarctic; South Pole
南西諸島	Nansei Islands
南東	southeast
南武線	Nanbu Line
南部	southland、south、confederate states、dixieland、confederacy、confederate states of america、dixie、south
南米	South America
南北首脳会談	South-North prime ministers meeting
難い	hard、difficult
難しい	hard、difficult、awkward、embarrassing、sticky、unenviable、ticklish、delicate、touchy、troublesome
難易度	degree of difficulty
難解な	difficult [hard] (to understand [solve])
難攻不落	impregnability
難所	dangerous spot; difficult stage
難民	refugee
難民キャンプ	refugee camp
難問	knot
二つ	two
二つ目	second
二極化	bipolarization; bipolarisation
二酸化炭素	carbonic acid anhydride; carbon dioxide
二次被害	secondary damage
二重構造	double structure; dual structure
二人三脚	teamwork; three‐legged race
二刀流	Two-Weapon Fighting
二分	division into two
二塁	second、second base、second base、second sacker、second baseman
二塁打	two-base hit、double、two-baser、two-bagger
匂い	smell; odor
賑やか	thronged、lively、merry、festive、festal、gay、jolly、jovial、merry、gay
賑わし	animate、invigorate、enliven、liven、liven up
肉	caro; meat
肉親	blood relation; blood relationship
肉体	body
肉類	meat
虹色	iridescent
日	schedule; time; d.; sunshine; day; date; sun
日々	every day
日刊スポーツ	Nikkan Sports
日間	daylight、daytime、day
日韓	Japan and Korea
日記	diary; daybook
日給	daily wages
日銀	Bank of Japan
日銀総裁	President of Bank of Japan; Governor of Bank of Japan
日経	Nikkei (newspaper、share index)
日経新聞	Nikkei Newspaper
日経平均	Nikkei Average
日経平均株価	Nikkei Stock Average
日光	sunlight; sun rays; Nikko
日航	JAL; JAPAN AIRLINES
日頃	nowadays、present
日産	NISSAN
日産リーフ	Nissan LEAF Electric Car
日産自動車	Nissan Motor Co.、Ltd.; NISSAN MOTOR
日誌	diary
日時	date and time
日次	daily
日常	routine
日常生活	daily life
日常茶飯事	daily event
日数	days
日置	Hioki
日朝	Japan and (North) Korea
日程	schedule
日米関係	relationship between Japan and the United States
日米同盟	Japan-US Alliance
日本	Japan
日本のインターネット	Internet in Japan
日本のスポーツ	Sport in Japan
日本の交通	Transport in Japan
日本の政治	Politics of Japan
日本の歴史	history of Japan、History of Japan
日本シリーズ	Japan Series
日本ハム	Nippon Meat Packers、Inc.; NIPPON MEAT PACKERS
日本プロ野球	Nippon Professional Baseball
日本一	Nihonichi
日本円	Japanese Yen
日本会議	Nippon Kaigi
日本海	Sea of Japan
日本海溝	Japan Trench
日本館	Japan Pavilion at Epcot
日本企業	Japanese enterprise
日本橋	Nihonbashi
日本型	Japonica type
日本型資本主義	Japanese‐style capitalism
日本経済新聞社	Nihon Keizai Shimbun、Inc.
日本語	Japanese
日本語版	Japanese edition
日本航空	JAL; Japan Airlines Co.、Ltd.; JAPAN AIRLINES
日本国債	Japanese government bond; JGB
日本国籍	Japanese nationality
日本国内	in Japan
日本国民	Japanese
日本市場	the Japanese market
日本時間	Japan time
日本社会	Japanese society
日本車	Japanese car
日本書籍出版協会	Japan Book Publishers' Association
日本食	Japanese food
日本人	Japanese
日本政府	Japanese government
日本製	made in Japan
日本青年館	Nippon Seinenkan
日本代表	Japanese representative; Japanese delegate; Japanese delegation
日本大使館	Japanese Embassy
日本地球惑星科学連合	Japan Geoscience Union
日本中	throughout Japan
日本電子書籍出版社協会	The Electronic Book Publishers Association of Japan
日本脳炎	Japanese encephalitis; encephalitis japonica; Japanese B encephalitis; B‐Encephalitis; JE
日本法人	Japanese subsidiary
日曜	Sunday
日曜日	Sunday
日立柏サッカー場	Hitachi Kashiwa Soccer Stadium
乳癌	breast neoplasm; breast cancer; breast carcinoma; carcinoma mammae; mammary carcinoma; cancer of the mamma; mammary cancer; carcinoma of the breast
乳児	infant; baby; suckling infant
乳製品	dairy product
入っ	sink、lapse、pass、pull in、draw in、get in、move in、enter、come in、get into
入り	entry、entering、incoming、entrance、ingress、entry、entree、entryway、entrance、entranceway
入り口	door、room access、door、threshold、doorway、entry、entree、entryway、entrance、entranceway
入り込む	penetrate、enter、come in、get into、go into、go in、get in、move into、get into、get in
入り組ん	be or become complicated
入れよ	include、put in、introduce、stick in、inclose、enclose、insert、feed、feed in、live with
入れ替え	swop、swap、switch、trade
入れ替わる	supervene upon、replace、supersede、supercede、supplant
入院患者	inpatient; hospitalized patient
入口	aditus; inlet port; introitus; inlet; iter; entrance
入稿	receiving a manuscript
入社	entering company
入手	obtainment; procurement
入場	admission; entrance
入植	settlement
入団	enrollment
入念	careful、painstaking、scrupulous、conscientious、elaborated、elaborate、detailed、measured、deliberate、careful
入力	input
如何	how; in what way; how about、how; in what way
如実	reality; actuality; actual conditions; true situation; faithful representation; vivid depiction
任	job、appointment、task、job、chore、part、function、office、role、assignment
任さ	confide、entrust、commit、trust、intrust、entrust、leave
任せる	rely、swear、bank、trust、submit、subject、commend、confide、entrust、commit
任意	haphazardly、indiscriminately、every which way、at random、willy-nilly、arbitrarily、randomly
任意保険	voluntary insurance
任官	appointment
任期	term of service; term of office
妊娠	cyesis; graviditas; gestation; gravidity; pregnancy; childbearing
忍耐	endurance; perseverance; patience
認め	acknowledge、recognize、know、recognise、accept、accept、acknowledge、let、countenance、permit
認可	certification; authorization; sanction
認識	recognition; perception; cognition
認証	certification; authentication
認知	apperception; recognition; identification; percept; affiliation; cognition; filiation
認知症	Dementia
認定	qualification; recognition; authorization; accreditation
猫	true cat、cat
猫背	stoop
熱	calor; febris; warmth; hot; heat; pyrexia
熱く	warm、ardent、warm、excited、stirred、aroused、stimulated、stirred up、hot、hot
熱意	enthusiasm
熱気	high fever; hot air
熱狂	enthusiasm; mania; fever
熱唱	singing enthusiastically
熱心	ardent、dedicated、eager、enthusiastic、ardent、warm、avid、zealous、fervent、torrid
熱帯低気圧	tropical cyclone
熱中	absorption; enthusiasm; zeal
年	grade; year
年下	junior
年間	annual
年寄	old person; aged person
年寄り	elderly、aged、oldster、senior citizen、golden ager、old person
年期	year period
年季	term of service
年金	pension; annuity
年月	time; years
年功序列	seniority system; seniority rule
年次	annual; year
年初	beginning of year
年数	number of years; years
年生	grader
年代	aetas; age
年度	fiscal year; FY
年内	by the end of the year
年版	edition
年末	year‐end
年末年始	New Year's holiday; period encompassing the close of the old year and the start of the New Year
年余	more than a year
年来	for some years
年齢	aetas; age; years
念	idea; notion; sense
念頭	mind
捻じり	twist、rick、sprain、turn、wrench、wrick、distort、twist、twine、twist
捻出	squeezing money; squeezing
燃え	burn、cauterise、cauterize、burn、combust、burn、burn、light up、flame up、flare
燃えさかる	combust、burn、blaze
燃費	fuel consumption
燃料	propellant; fuel; nuclear fuel
燃料電池	fuel cell
粘っ	glutinous …; viscid …
粘り強い	mucilaginous、viscid、gluey、sticky、glutinous、gummy、pasty、viscous、patient
悩ま	to be worried; to be troubled
悩まし	baffle、dumbfound、bewilder、gravel、stupefy、mystify、puzzle、get、beat、amaze
悩ましい	uneasy、worried、apprehensive、troubling、disturbing、perturbing、worrying、worrisome、distressing、distressful
悩み	problem、trouble、suffering、hurt、torment、agony、torture、distress、suffering、hurt
濃く	deep、rich、concentrated、thick、stiff、strong、potent、thick、impenetrable、heavy
濃厚	expected、stiff、strong、potent、robust、racy、full-bodied、rich、thick、rich
濃縮ウラン	enriched uranium
濃淡	intensity
濃度	concentration; density; strength; consistency
納まっ	go、belong
納得	consent; compliance
納品	delivery of goods; delivery
能	competence、competency、ability、capability、capableness、capacity
能力	capacity; ability
脳疾患	brain disease
脳出血	cerebral hemorrhage; haemorrhagia cerebri; encephalorrhagy; intracerebral bleeding; cerebral bleeding; encephalorrhagia
農業	agricultural industry; agriculture; farming
農業法人	agricultural judicial person
農作物	crops; farm produce; crop
農水	agricultural water
農水省	Ministry of Agriculture、Forestry and Fisheries
農地	farm; farm land; cropland; agricultural property; farmland; agricultural land
農薬	pesticide; plant protective; agricultural chemicals; agricultural chemical; pesticides
農林	agriculture and forestry
覗き	pop in
把握	grasp; ascertainment; grasping; hold; prehension; grip
覇気	drive
波	wave motion; wave
波及	involvement; influence; attack
波及効果	ripple effect; spreading effect; spin‐off benefit
波紋	wave pattern; circular slit; influence
派	inner circle、coterie、pack、camp、clique、ingroup、school
派遣	despatch; dispatch
派手	colorful、colourful、colorful、colourful、braw、brave、gay、showy、jazzy、flashy
破っ	break、demolish、destroy、trounce、shell、beat、crush、beat out、vanquish、break
破れ	break、split up、separate、fall apart、come apart、snap、crack、break、wear、wear out
破壊	demolition; destruction; breakdown; disruption; fracture; Fx
破綻	failure; rhexis
破滅	catastrophe
罵声	jeers
馬	horse
馬鹿	stupid、slow、dumb、obtuse、dense、dull、dim、extreme、crackbrained、idiotic
馬鹿げ	to look foolish
馬鹿力	great physical power; animal strength
俳優	actress; actor
廃棄	disposal
廃棄処分	disposal
廃棄物	eccrisis; waste; waste material; trash; garbage
廃業	discontinuance of business
廃止	discontinuance; abolition; disuse
廃墟	remains; ruins
排気ブレーキ	exhaust brake
排気量	cubic capacity; displacement; aerodynamic volume displacement; air volume displacement
排出	eccrisis; blowdown; issue; extrusion; elimination; excretion; discharge; exudation
排除	abatement; removal; exclusion; elimination
排他的経済水域	exclusive economic zone
排泄	passage; elimination; excretion; defluxion; discharge; evacuation
敗	defeat、licking
敗れ	lose、lose、turn a loss
敗戦	defeat; defeat in war
敗北	defeat; loss
杯	cup; cupula ampullaris; calices; cupola; glass; calyx; calix
背筋	spine; back muscle; muscle of back; muscle of the back
背景	background; backdrop
背後	rear; back
背中	back
背負わ	pack
輩	bunch、gang、crowd、crew、colleague、confrere、fellow、mate
輩出	production
配る	deliver、pass on、circulate、distribute、pass around、pass out、distribute、hand out、give out、deal
配下	follower
配給	cathexis; supply; distribution
配偶者	spouse; one’s spouse; mate
配合	proportion; combination; mixture; composition; mix
配信	delivery
配膳	waiting; tray service
配送	delivery; distribution
配属	assignment
配置	arrangement; layout; mounting; configuration
配備	deployment
配布	distribution
配慮	consideration; care
倍	twice
培っ	grow、foster、nurture、produce、farm、grow、raise、cultivate、educate、cultivate
媒介	intermediation; mediation; transmission; medium
媒介者	vector; vehicle; vehiculum
媒体	atmosphere; medium
梅田	Umeda
買い	purchase、buy、buy into
買い手	buyer
買い物	shopping、shopping
買え	come in
買収	acquisition; purchase
売っ	sell、deal、trade、sell、merchandise、trade、betray、sell
売り込む	sell、market、betray、sell
売り出す	offer、market
売り上げ	payoff、take、return、yield、proceeds、takings、issue
売り切れ	sellout
売り物	article for sale
売れ	bring in、fetch、bring
売れっ子	popular man; popular woman
売れ行き	sales
売却	sale
売上	sales
売上高	sales
売店	stall; stand; kiosk
賠償	compensation; reparation; indemnity
剥がれ	peel off
博し	to win; to gain; to earn
博士	expert; doctor
博識	knowledge; wide learning
博報堂	Hakuhodo
拍子	time; rhythm; chance
拍車	spur
拍車をかける	spur
拍手	hand clapping; handclap
柏	Japanese emperor oak
泊	counter for nights of a stay
泊り込み	stay overnight
白	white、white、whiteness
白い	white、white、brilliant、vivid、bright、white、white、white-hot、not guilty、acquitted
白丸	white circle
白黒	black and white、monochrome
白紙	white paper
白書	white paper
白石晃士	K?ji Shiraishi
白痴	idiocy; idiot; idiotia; absolute mental retardation
薄い	scanty、spare、bare、powdery、sparse、thin、watery、weak、washy、lean
薄っぺら	lean、thin、superficial、shallow、frivolous、tenuous、slight、fragile、flimsy、thin
薄れ	slacken off、ease up、flag、ease off、cool、cool down、cool off、blow over、evanesce、fleet
薄笑い	faint smile
迫っ	demand、press、urge on、exhort、urge、approach、come near、draw close、go up、approach
迫真	verisimilitude
迫力	force
爆走	roaring noisily around
爆速	detonation velocity; explosion velocity
爆発	explosion
縛ら	tie、hold、oblige、obligate、bind、tie、bind、tie down、truss、tie up
函館	Hakodate
函館市	Hakodate City
箱	magazine; cell; box
箸	chopsticks
肌	skin
畑	farm; field; plowed field; upland field
畑中	4051 Hatanaka
八戸	Hachinohe
発	leaving
発がん性物質	carcinogen
発し	breathe、pass off、emit、come about、go on、hap、pass、pass off、fall out、occur
発する	breathe、pass off、emit、come about、go on、hap、pass、pass off、fall out、occur
発案	proposal
発火	firing; firing physiology; ignition
発覚	detection
発揮	display; demonstration; manifestation
発起人	proposer
発議	initiative
発給	issuing
発掘	exhumation; serendipity; disinterment
発見	discovery
発言	speech; remark
発行	issue; publication
発行部数	circulation
発射	firing; launch; discharge
発車	departure
発症	etiology; pathogenesis; crisis
発信	signal transmission; dispatch; posting
発生	genesis; outbreak; birth; development; occurrence; generation
発生数	number of generation
発想	idea; onset
発足	inauguration; start
発達	development; advance; growth
発端	origin; inception
発注	order
発展	expansion; development; growth
発電	power generation; generation of electrical energy
発動	operation; triggering
発熱	heat production; heat generation; heating; exothermic reaction; heat buildup; fever; pyrexia
発売	sale
発表	announcement; publication
発砲	firing; shooting
発明	invention; contrivance
髪	hair
伐採	tree trimming
罰する	punish、penalise、penalize
罰金	penalty; fine
罰則	punishment; penal regulation; penalty
抜き打ち	drawing a katana and attacking in the same stroke
抜く	take out、except、leave off、exclude、omit、leave out、take out、pull up、pull、draw out
抜け	break through、push through、come out、erupt、pass、go across、go through、take to the woods、run away、scat
抜け出す	take to the woods、run away、scat、lam、scarper、escape、head for the hills、turn tail、bunk、break away
抜群	preeminently、pre-eminently
抜粋	abstract; selection
抜本	radical
塙	Hanawa
伴い	bring、follow、accompany、play along、walk、accompany、involve、imply、collocate with、cooccur with
判る	savvy、grok、grasp、apprehend、dig、comprehend、get the picture、compass、understand、understand
判決	ruling; sentence; judgement; decision
判示	judgement
判断	judgment; judgement; conclusion; decision; adjudication
判断基準	criterion; diagnostic criterion
判定	judgement; decision; adjudication; evaluation
判別	discrimination; discriminant; differentiation
判明	determination
半	half
半ば	the middle
半額	half the amount
半減	halving
半信半疑	uncertainty、uncertainness、precariousness、doubt、uncertainty、doubtfulness、dubiousness、dubiety、incertitude
半数	haploid number; half the number; moiety; half; haploid
半沢直樹	Hanzawa Naoki
半端	fraction; odds and end; oddment
半導体	semiconductor; diode
半日	half-adder-holiday; half-holiday
半年	half year
半分	half
半面	hemihedry
反し	turn over、tip over、tump over、overturn、bowl over、knock over、turn over、tip over、tump over、overturn
反する	fight、oppose、fight back、defend、fight down、trespass、transgress、overstep、break、transgress
反映	reflection; influence
反応	reaction; retroaction
反感	ill feeling; antipathy; repulsion
反響	effect; Echo; echo
反骨	uncompromising attitude of mind
反射	jerk; reflection; anaclasis; reflexion; reflex
反社会的	antisocial、asocial
反省	reflection; introspection
反省会	evaluation meeting; postmortem session; review meeting
反対	protest; contrariety
反動	reaction
反日	anti-Japan
反発	rebound; repulsion
反面	another side
反論	protest
反芻	rumination; regurgitation; merycismus; merycism
帆船	sailing boat; sailer; sailing ship
搬送	conveyance; carrier
搬入	emplacement
板	lamina; strake; plate; board; placode
氾濫	flood; overflow
汎用	general purpose
汎用性	universal use; general purpose; general-purpose properties; versatility
版	edition; issue
犯し	desecrate、unhallow、deconsecrate、trespass、transgress、sin、break、transgress、violate、offend
犯行	crime
犯罪	crime; criminality; offence; offense
犯罪行為	criminal act; criminality
犯罪者	offender; criminal; culprit
犯人	offender; criminal; suspect
繁栄	prosperity
販売	selling; sales; sale
販売台数	number of sales
範囲	area; scope; range
範疇	category、class、category、family
煩雑	complex、complicated
飯	rice; food; meal
晩	eve、eventide、evening、even、dark、night、nighttime、night、night
番	number
番狂わせ	upset; surprise
番手	yarn count; count; fan number; yarn number count
番組	program; show
番地	address; street number; house number
番目	position、place
卑怯	beastliness、meanness、pusillanimity、pusillanimousness
否応	answer respectively agreement or disagreement
否定	negation; denial
庇う	defend、fend for、support、protect、hold、defend、guard、champion、defend、screen
彼	boyfriend、swain、beau、young man、fellow
彼ら	they (usually male); them
彼氏	boyfriend、swain、beau、young man、fellow
彼女	girl、girlfriend、lady friend
彼女たち	they；them
彼女ら	they (females); them
悲しい	dysphoric、unhappy、distressed、unhappy、sad、sorrowful、grieving、bereft、grief-stricken、bereaved
悲しみ	gloominess、lugubriousness、sadness、sorrow、grief、unhappiness、sadness、sorrowfulness、sorrow、sadness
悲しん	mourn
悲劇	misfortune; tragedy
悲惨	atrociously、outrageously
悲鳴	scream
扉	door
批判	criticism
批評	critique; criticism
批評家	critic、critic
披露	announcement
披露宴	reception
比	proportion; rate; ratio; comparison
比べ	compare、contrast、vie、contend、compete
比較	comparison
比較検討	A comparative review；A comparative investigation；comparison
比率	proportion; fraction; percentage; ratio
比例	proportion
比例代表制	proportional representation; proportional representation system
疲れ	fatigue、fatigue、tiredness、weariness、exhaustion
疲れる	to get tired; to tire
